"Table1","Table2","JoinByTable1","JoinByTable2","Notes"
"bbc_percore","bbc_dilution","sampleID","sampleID",NA
"bbc_rootmass","bbc_chemistryPooling","Not fully automatable: multiple subsampleIDs are pooled into each subsampleIDList","Not fully automatable: multiple subsampleIDs are pooled into each subsampleIDList",NA
"bbc_chemistryPooling","bbc_rootChemistry","cnSampleID","cnSampleID",NA
"bbc_chemistryPooling","bbc_dilution","Requires intermediate table: join via bbc_rootmass table","Requires intermediate table: join via bbc_rootmass table",NA
"bbc_chemistryPooling","bbc_percore","Requires intermediate table: join via the bbc_rootmass table","Requires intermediate table: join via the bbc_rootmass table",NA
"bbc_chemistryPooling","bbc_rootChemistry","cnSampleID","cnSampleID",NA
"bbc_dilution","bbc_rootChemistry","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables",NA
"bbc_dilution","bbc_rootmass","Not fully automatable: need to calculate mean fragmentDryMass in bbc_dilution and sum of size classes in bbc_rootmass before joining by sampleID (see Standard calculations in Quick Start Guide)","Not fully automatable: need to calculate mean fragmentDryMass in bbc_dilution and sum of size classes in bbc_rootmass before joining by sampleID (see Standard calculations in Quick Start Guide)",NA
"bbc_percore","bbc_rootChemistry","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables","Requires intermediate table: join via the bbc_rootmass and bbc_chemistryPooling tables",NA
"bbc_rootChemistry","bbc_rootmass","Requires intermediate table: join via the bbc_chemistryPooling table","Requires intermediate table: join via the bbc_chemistryPooling table",NA
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"mam_perplotnight","mam_pertrapnight","nightuid","nightuid",NA
"mam_pertrapnight","mam_voucher","Full join not recommended: tables not related. Vouchers listed here reflect vouchers collected outside of normal mammal trapping activities during other NEON sampling protocols.","Full join not recommended: tables not related. Vouchers listed here reflect vouchers collected outside of normal mammal trapping activities during other NEON sampling protocols.",NA
"mam_perplotnight","mam_voucher","Requires intermediate table: Join via mam_pertrapnight table.","Requires intermediate table: Join via mam_pertrapnight table.",NA
"mcc_soilTaxonTableMetadata_16S","mcc_soilTaxonTableMetadata_ITS","dnaSampleID","dnaSampleID",NA
"mcc_taxonTableLabSummary","mcc_soilTaxonTableMetadata_16S","testMethod","testMethod",NA
"mcc_taxonTableLabSummary","mcc_soilTaxonTableMetadata_ITS","testMethod","testMethod",NA
"mct_soilSampleMetadata_ITS","mct_soilPerSampleTaxonomy_ITS","dnaSampleID","dnaSampleID",NA
"mct_soilSampleMetadata_16S","mct_soilPerSampleTaxonomy_16S","dnaSampleID","dnaSampleID",NA
"mct_taxonTableLabSummary","mct_soilSampleMetadata_ITS","codeVersion","codeVersion",NA
"mct_taxonTableLabSummary","mct_soilSampleMetadata_16S","codeVersion","codeVersion",NA
"sls_soilCoreCollection","mct_soilSampleMetadata_ITS","geneticSampleID","geneticSampleID",NA
"sls_soilCoreCollection","mct_soilSampleMetadata_16S","geneticSampleID","geneticSampleID",NA
"sls_soilCoreCollection","sls_soilMoisture","sampleID","sampleID",NA
"sls_soilCoreCollection","sls_soilpH","sampleID","sampleID",NA
"sls_soilCoreCollection","sls_bgcSubsampling","sampleID","sampleID",NA
"sls_soilCoreCollection","sls_metagenomicsPooling","Not fully automatable: multiple sampleIDs are pooled into genomicsPooledIDList","Not fully automatable: multiple sampleIDs are pooled into genomicsPooledIDList",NA
"sls_bgcSubsampling","sls_soilChemistry","cnSampleID","cnSampleID",NA
"ntr_internalLab","ntr_internalLabBlanks","kclReferenceID","kclReferenceID",NA
"sls_soilCoreCollection","ntr_internalLab","sampleID","sampleID",NA
"ntr_internalLab","ntr_externalLab","kclSampleID","kclSampleID",NA
"ntr_externalLab","ntr_internalLabBlanks","Not fully automatable: kclSampleID in ntr_externalLab includes samples labeled as kclBlank1ID, kclBlank2ID, and kclBlank3ID in ntr_internalLabBlanks","Not fully automatable: kclSampleID in ntr_externalLab includes samples labeled as kclBlank1ID, kclBlank2ID, and kclBlank3ID in ntr_internalLabBlanks",NA
"ntr_externalLab","sls_bgcSubsampling","sampleID","sampleID",NA
"ntr_externalLab","sls_metagenomicsPooling","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing",NA
"ntr_externalLab","sls_soilChemistry","sampleID","sampleID",NA
"ntr_externalLab","sls_soilCoreCollection","sampleID","sampleID",NA
"ntr_externalLab","sls_soilMoisture","sampleID","sampleID",NA
"ntr_externalLab","sls_soilpH","sampleID","sampleID",NA
"ntr_internalLab","sls_bgcSubsampling","sampleID","sampleID",NA
"ntr_internalLab","sls_metagenomicsPooling","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing","Direct join not recommended: nitrogen incubations are carried out on a different set of samples from genomic sequencing",NA
"ntr_internalLab","sls_soilChemistry","sampleID","sampleID",NA
"ntr_internalLab","sls_soilMoisture","sampleID","sampleID",NA
"ntr_internalLab","sls_soilpH","sampleID","sampleID",NA
"ntr_internalLabBlanks","sls_bgcSubsampling","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples",NA
"ntr_internalLabBlanks","sls_metagenomicsPooling","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples",NA
"ntr_internalLabBlanks","sls_soilChemistry","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples",NA
"ntr_internalLabBlanks","sls_soilCoreCollection","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples",NA
"ntr_internalLabBlanks","sls_soilMoisture","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples",NA
"ntr_internalLabBlanks","sls_soilpH","Join not recommended: lab blanks are only relevant to nitrogen incubation samples","Join not recommended: lab blanks are only relevant to nitrogen incubation samples",NA
"sls_bgcSubsampling","sls_metagenomicsPooling","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table",NA
"sls_bgcSubsampling","sls_soilMoisture","sampleID","sampleID",NA
"sls_bgcSubsampling","sls_soilpH","sampleID","sampleID",NA
"sls_metagenomicsPooling","sls_soilChemistry","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table",NA
"sls_metagenomicsPooling","sls_soilMoisture","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table",NA
"sls_metagenomicsPooling","sls_soilpH","Not fully automatable: can be joined via the sls_soilCoreCollection table","Not fully automatable: can be joined via the sls_soilCoreCollection table",NA
"sls_soilChemistry","sls_soilCoreCollection","sampleID","sampleID",NA
"sls_soilChemistry","sls_soilMoisture","sampleID","sampleID",NA
"sls_soilChemistry","sls_soilpH","sampleID","sampleID",NA
"sls_soilMoisture","sls_soilpH","sampleID","sampleID",NA
"bgc_CNiso_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"ntr_externalSummary","Any other table","Join not recommended. Data resolution does not match other tables.","Join not recommended. Data resolution does not match other tables.",NA
"tck_pathogen","tck_taxonomyProcessed","subsampleID","subsampleID",NA
"tck_pathogen","tck_taxonomyRaw","subsampleID","subsampleID",NA
"tck_pathogen","tck_pathogenqa","Simple join not recommended. BatchIDs used for joining are replicated in both tables such that joining tables results in repeated records.  It is recommended to convert the pathogenqa table to wide format with multiple columns for controlType, then join by batchID.","Simple join not recommended. BatchIDs used for joining are replicated in both tables such that joining tables results in repeated records.  It is recommended to convert the pathogenqa table to wide format with multiple columns for controlType, then join by batchID.",NA
"tck_fielddata","tck_taxonomyProcessed","sampleID","sampleID",NA
"tck_fielddata","tck_taxonomyRaw","sampleID","sampleID",NA
"tck_taxonomyProcessed","tck_taxonomyRaw","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.","Join not recommended. These tables contain identifications of the same samples with possibly differing higher-order taxonomy; see User Guide.",NA
"vst_perplotperyear","vst_mappingandtagging","Join not recommended: vst_perplotperyear and vst_mappingand tagging represent different temporal resolution","Join not recommended: vst_perplotperyear and vst_mappingand tagging represent different temporal resolution",NA
"vst_mappingandtagging","vst_apparentindividual","individualID","individualID",NA
"vst_perplotperyear","vst_apparentindividual","Join not recommended: vst_perplotperyear provides annual metadata at the plot level","Join not recommended: vst_perplotperyear provides annual metadata at the plot level",NA
"vst_shrubgroup","vst_perplotperyear","Join not recommended: vst_perplotperyear provides annual metadata at the plot level","Join not recommended: vst_perplotperyear provides annual metadata at the plot level",NA
"vst_shrubgroup","vst_apparentindividual","Join not recommended: vst_shrubgroup and vst_apparentindividual represent non-overlapping sets of plants","Join not recommended: vst_shrubgroup and vst_apparentindividual represent non-overlapping sets of plants",NA
"vst_mappingandtagging","vst_shrubgroup","Join not recommended: shrubs are not mapped","Join not recommended: shrubs are not mapped",NA
"vst_shrubgroup","vst_non-woody","Join not recommended: vst_shrubgroup and vst_non-woody represent non-overlapping sets of plants","Join not recommended: vst_shrubgroup and vst_non-woody represent non-overlapping sets of plants",NA
"vst_non-woody","vst_perplotperyear","Join not recommended: vst_perplotperyear provides annual metadata at the plot level","Join not recommended: vst_perplotperyear provides annual metadata at the plot level",NA
"vst_non-woody","vst_apparentindividual","Join not recommended: vst_non-woody and vst_apparentindividual represent non-overlapping sets of plants","Join not recommended: vst_non-woody and vst_apparentindividual represent non-overlapping sets of plants",NA
